logical_id,naptan_tube,station_name,name_key,fare_zone,lift_count,step_free_platform_count,accessible_toilet_count,accessibility_type,ramp_platform_count,mean_gap_mm,crowding_peak,crowding_evening,has_planned_closure,has_live_lift_issue,predicted_temp_c,pac_score
940GZZLUBKE,940GZZLUBKE,Barkingside Underground Station,barkingside,4,0.0,0.0,0.0,1.0,1.0,213.0,0.1911666666666666,0.1246666666666666,0,0,30.1,
940GZZLUBSC,940GZZLUBSC,Barons Court Underground Station,barons court,2,0.0,0.0,0.0,0.0,0.0,40.0,0.2823333333333334,0.287,0,0,27.1,
940GZZBPSUST,940GZZBPSUST,Battersea Power Station Underground Station,battersea power,1,,,,,,,0.1146666666666666,0.145,0,0,27.9,
940GZZLUBWT,940GZZLUBWT,Bayswater Underground Station,bayswater,1,0.0,0.0,0.0,0.0,0.0,,0.2175,0.2666666666666666,0,0,25.2,
940GZZLUBEC,940GZZLUBEC,Becontree Underground Station,becontree,5,0.0,0.0,0.0,0.0,0.0,,0.2458333333333333,0.185,0,0,25.2,
940GZZLUBZP,940GZZLUBZP,Belsize Park Underground Station,belsize park,2,0.0,0.0,0.0,0.0,0.0,,0.0338333333333333,0.0271666666666666,0,0,27.9,
940GZZLUBMY,940GZZLUBMY,Bermondsey Underground Station,bermondsey,2,1.0,0.0,0.0,2.0,0.0,42.5,0.3238333333333333,0.3328333333333333,0,0,25.9,
940GZZLUBLG,940GZZLUBLG,Bethnal Green Underground Station,bethnal green,2,0.0,0.0,0.0,0.0,0.0,,0.3763333333333333,0.3994999999999999,0,0,30.1,
HUBBFR,940GZZLUBKF,Blackfriars Underground Station,blackfriars,1,6.0,0.0,1.0,2.0,0.0,42.5,0.385,0.411,0,0,25.2,
HUBBHO,940GZZLUBLR,Blackhorse Road Underground Station,blackhorse road,3,2.0,0.0,0.0,2.0,0.0,,0.4721666666666667,0.4006666666666666,0,0,30.0,
HUBBDS,940GZZLUBND,Bond Street Underground Station,bond street,1,6.0,1.0,0.0,3.0,3.0,42.5,0.3308333333333333,0.4188333333333333,0,0,30.1,
940GZZLUBOR,940GZZLUBOR,Borough Underground Station,borough,1,2.0,1.0,0.0,3.0,0.0,42.5,0.4831666666666666,0.4738333333333333,0,0,27.9,
940GZZLUBOS,940GZZLUBOS,Boston Manor Underground Station,boston manor,4,0.0,0.0,0.0,0.0,0.0,,0.041,0.0318333333333333,0,0,27.1,
940GZZLUBDS,940GZZLUBDS,Bounds Green Underground Station,bounds green,3+4,0.0,0.0,0.0,0.0,0.0,,0.2918333333333333,0.274,0,0,27.1,
940GZZLUBWR,940GZZLUBWR,Bow Road Underground Station,bow road,2,0.0,0.0,0.0,0.0,0.0,,0.2823333333333334,0.308,0,0,25.2,
940GZZLUBTX,940GZZLUBTX,Brent Cross Underground Station,brent cross,3,0.0,0.0,0.0,0.0,0.0,,0.112,0.091,0,0,27.9,
HUBBRX,940GZZLUBXN,Brixton Underground Station,brixton,2,2.0,2.0,0.0,3.0,0.0,42.5,0.2791666666666667,0.2126666666666666,0,0,30.0,
940GZZLUBBB,940GZZLUBBB,Bromley-by-Bow Underground Station,bromley by bow,2/3,2.0,0.0,0.0,2.0,4.0,,0.2946666666666667,0.3031666666666667,0,0,25.2,
940GZZLUBKH,940GZZLUBKH,Buckhurst Hill Underground Station,buckhurst hill,5,0.0,0.0,0.0,1.0,2.0,,0.2166666666666666,0.1385,0,0,30.1,
940GZZLUBTK,940GZZLUBTK,Burnt Oak Underground Station,burnt oak,4,0.0,0.0,0.0,0.0,0.0,,0.1846666666666666,0.1336666666666666,0,0,27.9,
940GZZLUCAR,940GZZLUCAR,Caledonian Road Underground Station,caledonian road,2,2.0,2.0,0.0,3.0,0.0,42.5,0.0,0.0,0,0,27.1,
940GZZLUCTN,940GZZLUCTN,Camden Town Underground Station,camden town,2,0.0,2.0,0.0,3.0,0.0,42.5,0.2438333333333333,0.3451666666666667,0,0,27.9,
