logical_id,naptan_tube,station_name,name_key,fare_zone,line_ids,lat,lon
940GZZLUBWR,940GZZLUBWR,Bow Road Underground Station,bow road,2,district;hammersmith-city,51.52694,-0.025128
940GZZLUBTX,940GZZLUBTX,Brent Cross Underground Station,brent cross,3,northern,51.57665,-0.213622
HUBBRX,940GZZLUBXN,Brixton Underground Station,brixton,2,victoria,51.462618,-0.114888
940GZZLUBBB,940GZZLUBBB,Bromley-by-Bow Underground Station,bromley by bow,2/3,district;hammersmith-city,51.524839,-0.011538
940GZZLUBKH,940GZZLUBKH,Buckhurst Hill Underground Station,buckhurst hill,5,167;677;central;w14,51.626605,0.046757
940GZZLUBTK,940GZZLUBTK,Burnt Oak Underground Station,burnt oak,4,northern,51.602774,-0.264048
940GZZLUCAR,940GZZLUCAR,Caledonian Road Underground Station,caledonian road,2,piccadilly,51.548519,-0.118493
940GZZLUCTN,940GZZLUCTN,Camden Town Underground Station,camden town,2,northern,51.539292,-0.14274
HUBZCW,940GZZLUCWR,Canada Water Underground Station,canada water,2,jubilee,51.497931,-0.049405
HUBCAW,940GZZLUCYF,Canary Wharf Underground Station,canary wharf,2,jubilee,51.503488,-0.018246
HUBCAN,940GZZLUCGT,Canning Town Underground Station,canning town,2/3,jubilee,51.513584,0.008322
HUBCST,940GZZLUCST,Cannon Street Underground Station,cannon street,1,circle;district,51.51151,-0.090432
940GZZLUCPK,940GZZLUCPK,Canons Park Underground Station,canons park,5,jubilee,51.607701,-0.294693
HUBCFO,940GZZLUCAL,Chalfont & Latimer Underground Station,chalfont & latimer,8,metropolitan,51.667985,-0.560689
940GZZLUCFM,940GZZLUCFM,Chalk Farm Underground Station,chalk farm,2,northern,51.544118,-0.153388
940GZZLUCHL,940GZZLUCHL,Chancery Lane Underground Station,chancery lane,1,central,51.518247,-0.111583
HUBCHX,940GZZLUCHX,Charing Cross Underground Station,charing cross,1,bakerloo;northern,51.50741,-0.127277
940GZZLUCSM,940GZZLUCSM,Chesham Underground Station,chesham,9,metropolitan,51.705208,-0.611247
940GZZLUCWL,940GZZLUCWL,Chigwell Underground Station,chigwell,4,167;667;677;central,51.617916,0.075041
940GZZLUCWP,940GZZLUCWP,Chiswick Park Underground Station,chiswick park,3,district,51.494627,-0.267972
HUBCLW,940GZZLUCYD,Chorleywood Underground Station,chorleywood,7,metropolitan,51.654358,-0.518461
940GZZLUCPC,940GZZLUCPC,Clapham Common Underground Station,clapham common,2,northern,51.461742,-0.138317
940GZZLUCPN,940GZZLUCPN,Clapham North Underground Station,clapham north,2,northern,51.465135,-0.130016
940GZZLUCPS,940GZZLUCPS,Clapham South Underground Station,clapham south,2+3,northern,51.452654,-0.147582
940GZZLUCKS,940GZZLUCKS,Cockfosters Underground Station,cockfosters,5,piccadilly,51.65152,-0.149171
940GZZLUCND,940GZZLUCND,Colindale Underground Station,colindale,4,northern,51.595424,-0.249919
940GZZLUCSD,940GZZLUCSD,Colliers Wood Underground Station,colliers wood,3,northern,51.41816,-0.178086
940GZZLUCGN,940GZZLUCGN,Covent Garden Underground Station,covent garden,1,piccadilly,51.513093,-0.124436
940GZZLUCXY,940GZZLUCXY,Croxley Underground Station,croxley,7,metropolitan,51.647044,-0.441718
940GZZLUDGE,940GZZLUDGE,Dagenham East Underground Station,dagenham east,5,district,51.544096,0.166017
940GZZLUDGY,940GZZLUDGY,Dagenham Heathway Underground Station,dagenham heathway,5,district,51.541639,0.147527
940GZZLUDBN,940GZZLUDBN,Debden Underground Station,debden,6,central,51.645386,0.083782
940GZZLUDOH,940GZZLUDOH,Dollis Hill Underground Station,dollis hill,3,jubilee,51.551955,-0.239068
HUBEAL,940GZZLUEBY,Ealing Broadway Underground Station,ealing broadway,3,central;district,51.515017,-0.301457
940GZZLUECM,940GZZLUECM,Ealing Common Underground Station,ealing common,3,district;piccadilly,51.51014,-0.288265
940GZZLUECT,940GZZLUECT,Earl's Court Underground Station,earl's court,1+2,district;piccadilly,51.492063,-0.193378
940GZZLUEAN,940GZZLUEAN,East Acton Underground Station,east acton,2,central,51.516612,-0.247248
940GZZLUEFY,940GZZLUEFY,East Finchley Underground Station,east finchley,3,northern,51.587131,-0.165012
940GZZLUEHM,940GZZLUEHM,East Ham Underground Station,east ham,3+4,district;hammersmith-city,51.538948,0.051186
